year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2
2009,2722.67002,2,1,2,1,4,1
2009,3172.3845100000003,1,1,2,1,8,2
2009,3309.1921399999997,1,1,2,1,7,2
2009,6172.96948,1,1,2,1,3,1
2009,3828.01539,1,1,1,4,6,1
2009,4318.58419,2,1,2,1,4,1
2009,4318.58419,2,1,2,1,4,1
2009,3110.75274,2,1,2,1,7,2
2009,3000.78881,2,3,2,3,6,1
2009,3980.4698799999996,2,1,2,1,4,1
2009,2129.65919,2,1,1,4,7,1
2009,3369.99629,1,1,2,1,7,1
2009,3309.11783,2,1,2,1,6,2
2009,3309.11783,2,1,2,1,6,2
2009,3314.72122,2,1,2,1,1,1
2009,3845.4056100000003,2,1,2,1,3,1
2009,3819.71326,1,1,2,1,6,1
2009,3819.71326,1,1,2,1,6,1
2009,3819.71326,1,1,2,1,6,1
2009,3318.37338,2,1,2,1,6,2
2009,3140.9187100000004,1,1,2,1,7,5
2009,3438.66926,1,1,2,1,2,1
2009,2608.5049,2,1,1,4,3,1
2009,4781.28373,1,1,2,1,4,1
2009,2108.76667,1,1,2,1,5,1
2009,3518.3121100000003,1,1,2,1,8,2
2009,3969.65376,2,1,2,1,5,4
2009,3969.65376,2,1,2,1,5,4
2009,3969.65376,2,1,2,1,5,4
2009,3969.65376,2,1,2,1,5,4
2009,3969.65376,2,1,2,1,5,4
2009,3969.65376,2,1,2,1,5,4
2009,2234.64532,1,1,2,1,7,2
2009,3382.7387299999996,2,1,2,1,6,5
2009,3360.85935,2,1,2,1,7,2
2009,3149.86663,1,1,2,1,2,1
2009,3969.70414,1,2,2,2,6,1
2009,3819.71326,1,1,2,1,6,1
2009,4087.8101899999997,1,1,2,1,5,1
2009,2935.3742399999996,2,1,2,1,5,1
2009,3792.8993,1,1,2,1,4,2
2009,3298.73308,1,1,2,1,6,2
2009,3902.3864399999998,1,1,1,4,5,1
2009,3629.92973,1,1,2,1,5,2
2009,4655.301670000001,2,2,2,2,5,5
2009,1847.53553,2,1,2,1,7,2
2009,5814.78876,1,2,2,2,2,1
2009,3374.07793,1,1,2,1,7,1
2009,3866.84456,1,2,2,2,6,1
2009,6156.84175,2,1,2,1,4,1
2009,5927.69091,2,2,2,2,1,1
2009,1725.1156399999998,2,1,2,1,8,3
2009,2948.9653399999997,2,1,2,1,5,1
2009,4000.3612799999996,2,1,2,1,2,1
